Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material, Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;TIPOLOGIAS
CE 27-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua 16 de Novembro n° 651;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 28-1-1;Provavelmente Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua 16 de Novembro n° 651;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 29-1-1;Porto/Portugal;A.A.Costa & C Fa de Devezas;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;Rua 13 de Maio n° 38/40;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 30-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 31-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Rua dos 48 n° 59 (Demolido antes de 1986);Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 32-1-1;Porto/Portugal;Carvalhinho;10 x 10 cm;Cerâmica e vidrado Estampinha;Travessa São Francisco n° 60;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 33-1-1;Porto/Portugal;Cartela 1917 - Carvalhinho ou Das Devezas;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 34-1-1;x/Portugal;x;14 x 14 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 35-1-1;x/Provavelmente Portugal;x;14 x 14 cm;Cerâmica e vidrado Estampinha;Travessa 7 de Setembro n° 243;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 36-1-1;x/Portugal;x;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 37-1-1;x/Portugal;x;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 38-1-1;x/Provavelmente Portugal;Padrão semelhante ao da Fábrica Calçada dos Cesteiros ou Roseira;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 39-1-1;Porto/Portugal;x;x;Cerâmica e vidrado Estampinha;Travessa 1° de Março n° 331/335/341 e Rua Ó de Almeida n° 363;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 40-1-1;x/Portugal;x;13,5 x 13,5 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
CE 41-1-1;x/Portugal;Carvalhinho;14 x 14 cm;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
