Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
FE 1-1-1,Lisboa,Portugal,13/4,06/3,Travessa Frutuoso Guimarães n° 552 e 558/ Travessa 7 de Setembro n° 104/ Rua Conselheiro João Alfredo n° 284/ Travessa Gurupá n° 114/ Travessa Quintino Bocaiúva n° 932/946/ Travessa Rui Barbosa n° 355 e 845/ Rua Veiga Cabral n° 1338/ Rua Ó de Almeida n° 43 e 387/ Travessa Presidente Pernambuco n° 204/ Avenida Gentil Bittencourt n° 231/ Avenida 16 de Novembro n° 79 e 107/ Rua Rodrigues Santos n° 305/ Rua Dr. Assis n° 130/ Travessa Campos Sales n° 591, 715 e 300/306/308/312/ Rua Gaspar Viana n° 151/153/157 e 165/169/ Praça Barão do Guajará n° 53/ Rua 13 de Maio n° 194, 458/462 e 470/ Avenida Castilhos França n° 524/534 e 600/608/ Rua 28 de Setembro n° 42, 157, 528 e 536/ Rua Senador Manoel Barata n° 337,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-1,Lisboa,Portugal,13/4,06/3,Travessa Frutuoso Guimarães n° 552 e 558/ Travessa 7 de Setembro n° 104/ Rua Conselheiro João Alfredo n° 284/ Travessa Gurupá n° 114/ Travessa Quintino Bocaiúva n° 932/946/ Travessa Rui Barbosa n° 355 e 845/ Rua Veiga Cabral n° 1338/ Rua Ó de Almeida n° 43 e 387/ Travessa Presidente Pernambuco n° 204/ Avenida Gentil Bittencourt n° 231/ Avenida 16 de Novembro n° 79 e 107/ Rua Rodrigues Santos n° 305/ Rua Dr. Assis n° 130/ Travessa Campos Sales n° 591, 715 e 300/306/308/312/ Rua Gaspar Viana n° 151/153/157 e 165/169/ Praça Barão do Guajará n° 53/ Rua 13 de Maio n° 194, 458/462 e 470/ Avenida Castilhos França n° 524/534 e 600/608/ Rua 28 de Setembro n° 42, 157, 528 e 536/ Rua Senador Manoel Barata n° 337,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-1,Lisboa,Portugal,13/4,06/3,Travessa Frutuoso Guimarães n° 552 e 558/ Travessa 7 de Setembro n° 104/ Rua Conselheiro João Alfredo n° 284/ Travessa Gurupá n° 114/ Travessa Quintino Bocaiúva n° 932/946/ Travessa Rui Barbosa n° 355 e 845/ Rua Veiga Cabral n° 1338/ Rua Ó de Almeida n° 43 e 387/ Travessa Presidente Pernambuco n° 204/ Avenida Gentil Bittencourt n° 231/ Avenida 16 de Novembro n° 79 e 107/ Rua Rodrigues Santos n° 305/ Rua Dr. Assis n° 130/ Travessa Campos Sales n° 591, 715 e 300/306/308/312/ Rua Gaspar Viana n° 151/153/157 e 165/169/ Praça Barão do Guajará n° 53/ Rua 13 de Maio n° 194, 458/462 e 470/ Avenida Castilhos França n° 524/534 e 600/608/ Rua 28 de Setembro n° 42, 157, 528 e 536/ Rua Senador Manoel Barata n° 337, Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-1,Lisboa,Portugal,13/4,06/3,Travessa Frutuoso Guimarães n° 552 e 558/ Travessa 7 de Setembro n° 104/ Rua Conselheiro João Alfredo n° 284/ Travessa Gurupá n° 114/ Travessa Quintino Bocaiúva n° 932/946/ Travessa Rui Barbosa n° 355 e 845/ Rua Veiga Cabral n° 1338/ Rua Ó de Almeida n° 43 e 387/ Travessa Presidente Pernambuco n° 204/ Avenida Gentil Bittencourt n° 231/ Avenida 16 de Novembro n° 79 e 107/ Rua Rodrigues Santos n° 305/ Rua Dr. Assis n° 130/ Travessa Campos Sales n° 591, 715 e 300/306/308/312/ Rua Gaspar Viana n° 151/153/157 e 165/169/ Praça Barão do Guajará n° 53/ Rua 13 de Maio n° 194, 458/462 e 470/ Avenida Castilhos França n° 524/534 e 600/608/ Rua 28 de Setembro n° 42, 157, 528 e 536/ Rua Senador Manoel Barata n° 337,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-1,Lisboa,Portugal,13/4,06/3,Travessa Frutuoso Guimarães n° 552 e 558/ Travessa 7 de Setembro n° 104/ Rua Conselheiro João Alfredo n° 284/ Travessa Gurupá n° 114/ Travessa Quintino Bocaiúva n° 932/946/ Travessa Rui Barbosa n° 355 e 845/ Rua Veiga Cabral n° 1338/ Rua Ó de Almeida n° 43 e 387/ Travessa Presidente Pernambuco n° 204/ Avenida Gentil Bittencourt n° 231/ Avenida 16 de Novembro n° 79 e 107/ Rua Rodrigues Santos n° 305/ Rua Dr. Assis n° 130/ Travessa Campos Sales n° 591, 715 e 300/306/308/312/ Rua Gaspar Viana n° 151/153/157 e 165/169/ Praça Barão do Guajará n° 53/ Rua 13 de Maio n° 194, 458/462 e 470/ Avenida Castilhos França n° 524/534 e 600/608/ Rua 28 de Setembro n° 42, 157, 528 e 536/ Rua Senador Manoel Barata n° 337,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-2,Lisboa,Portugal,13/2,06/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-3,Lisboa,Portugal,13/2,06/5,Demolido,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-1-4,Lisboa,Portugal,13/2,06/5,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-2-2,Lisboa,Portugal,13/2,06/3,Rua 28 de Setembro n° 328,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 1-2-5,Lisboa,Portugal,13/2,06/3,Avenida Nazaré n° 293 e 305/ Travessa Feli Roque n° 119,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 6-1-1,Lisboa,Portugal,,,Travessa Quintino Bocaiúva n° 1242,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
